mlbam_id,player_name,team,weekly_pa,weekly_ab,weekly_r,weekly_hr,weekly_rbi,weekly_sb,weekly_h,weekly_bb,weekly_hbp,weekly_sf,weekly_obp,weekly_ip,weekly_w,weekly_sv,weekly_k,weekly_er,weekly_pitch_h,weekly_pitch_bb,weekly_era,weekly_whip
660761,José Suarez,ATH,0,0,0,0,0,0,0,0,0,0,0.000,1.0,0,0,1,2,2,0,18.00,2.00
677588,José Tena,WSH,5,4,1,0,0,0,1,1,0,0,0.400,0.0,0,0,0,0,0,0,0.00,0.00
663558,Jovani Morán,BOS,0,0,0,0,0,0,0,0,0,0,0.000,3.0,0,0,0,0,1,0,0.00,0.33
675848,Juan Mejia,COL,0,0,0,0,0,0,0,0,0,0,0.000,0.2,0,0,0,0,1,1,0.00,3.00
666661,Juan Morillo,AZ,0,0,0,0,0,0,0,0,0,0,0.000,2.1,1,0,1,1,2,1,3.86,1.29
665742,Juan Soto,NYM,16,12,1,0,1,0,4,4,0,0,0.500,0.0,0,0,0,0,0,0,0.00,0.00
670062,Julian Garcia,CIN,0,0,0,0,0,0,0,0,0,0,0.000,2.2,0,0,2,0,2,0,0.00,0.75
677594,Julio Rodríguez,SEA,10,8,1,0,1,0,1,1,0,1,0.200,0.0,0,0,0,0,0,0,0.00,0.00
808982,Jung Hoo Lee,SF,13,12,2,0,0,0,4,0,1,0,0.385,0.0,0,0,0,0,0,0,0.00,0.00
691406,Junior Caminero,TB,19,18,2,1,1,0,5,0,1,0,0.316,0.0,0,0,0,0,0,0,0.00,0.00
678577,Junior Perez,CWS,1,1,0,0,0,0,0,0,0,0,0.000,0.0,0,0,0,0,0,0,0.00,0.00
677865,Justin Bruihl,STL,0,0,0,0,0,0,0,0,0,0,0.000,1.0,0,0,0,0,0,1,0.00,1.00
702222,Justin Crawford,PHI,7,7,0,0,0,0,0,0,0,0,0.000,0.0,0,0,0,0,0,0,0.00,0.00
681909,Justin Dean,CHC,1,0,0,0,0,0,0,1,0,0,1.000,0.0,0,0,0,0,0,0,0.00,0.00
679822,Justin Foscue,TEX,6,6,0,0,0,0,1,0,0,0,0.167,0.0,0,0,0,0,0,0,0.00,0.00
686580,Justin Slaten,BOS,0,0,0,0,0,0,0,0,0,0,0.000,1.0,0,0,1,0,0,0,0.00,0.00
686993,Justin Sterner,ATH,0,0,0,0,0,0,0,0,0,0,0.000,0.1,0,0,0,6,4,2,162.00,18.00
680736,Justin Wrobleski,NL,0,0,0,0,0,0,0,0,0,0,0.000,2.0,0,0,5,1,1,0,4.50,0.50
696135,Kahlil Watson,CLE,13,13,0,0,1,1,4,0,0,0,0.308,0.0,0,0,0,0,0,0,0.00,0.00
678906,Kai-Wei Teng,HOU,0,0,0,0,0,0,0,0,0,0,0.000,2.1,0,0,3,0,1,1,0.00,0.86
672960,Kazuma Okamoto,TOR,13,11,0,0,0,0,0,1,1,0,0.154,0.0,0,0,0,0,0,0,0.00,0.00
663647,Ke'Bryan Hayes,CIN,4,4,1,0,0,0,0,0,0,0,0.000,0.0,0,0,0,0,0,0,0.00,0.00
676775,Keaton Winn,SF,0,0,0,0,0,0,0,0,0,0,0.000,0.1,0,0,0,0,0,0,0.00,0.00
660688,Keibert Ruiz,WSH,4,4,1,0,0,0,2,0,0,0,0.500,0.0,0,0,0,0,0,0,0.00,0.00
672456,Keider Montero,DET,0,0,0,0,0,0,0,0,0,0,0.000,3.1,1,0,5,0,1,0,0.00,0.30
696070,Kendry Rojas,MIN,0,0,0,0,0,0,0,0,0,0,0.000,1.0,0,0,1,0,1,0,0.00,1.00
445276,Kenley Jansen,DET,0,0,0,0,0,0,0,0,0,0,0.000,1.0,0,0,2,0,0,1,0.00,1.00
681481,Kerry Carpenter,DET,10,10,0,0,0,0,0,0,0,0,0.000,0.0,0,0,0,0,0,0,0.00,0.00
606466,Ketel Marte,AZ,14,13,2,0,2,0,4,1,0,0,0.357,0.0,0,0,0,0,0,0,0.00,0.00
682634,Kevin Alcántara,CHC,1,1,0,0,0,0,0,0,0,0,0.000,0.0,0,0,0,0,0,0,0.00,0.00
